Bank description; Nợ ; Có ; Nature 
So GD: 285A25603U7KEGQR Hoang Thi Thu Trang Physical Activity Claim for May Jun 2025;;4.069.520,00;Operating expense
So GD: 285A25603U7KVG08 NAM Reimbursement for company physical exercise May 2025;;4.849.740,00;Operating expense
So GD: 285A25603U7L9974 KIMANH meeting with HSC;;1.122.660,00;Operating expense
So GD: 285A25603U7LR9A6 LANTRAN Pantry expenses of Binh Duong Office in 04 2025;;20.405.690,00;Operating expense
So GD: 285A25603U7M7AJR XA1 VNPT FM service fee in 04 2025;;162.541.186,00;Operating expense
Trich no tu dong the thanh toan cho TK the tin dung 257110000573639;;4.945.575,00;Operating expense
VC3_DC2_TRANSFER MONEY FROM VC3 TO DC2;;3.000.000.000,00;Internal transfer out
CT DEN:516012670320 Mia Nguyen Clear Cash Advance FT25160004736179;8.332.000,00;;Other receipts
So GD: 285A2560F84WMPWD SHTQ VSIP Bac Ninh 2 13.5 ha_Legal Service Agreement with Avenir Legal _The second payment;;140.400.000,00;Operating expense
So GD: 285A2560F851WHYC AST_Business trip expenses in 05.2025;;76.790.100,00;Operating expense
So GD: 285A2560F855Q622 DYM_Annual Health Check-up_Final Payment;;286.837.010,00;Operating expense
SIEUTHANH Photocopy and Click charge fee for HCM BD office in 05 2025;;26.314.848,00;Operating expense
So GD: 285A2560GPUHXEM8 VC3 VAN ANH PA s petty cash;;10.000.000,00;Operating expense
So GD: 285A2560GPUJSM4X DUYEN Meeting with agents;;1.651.506,00;Operating expense
So GD: 285A2560GPULAY4P TRANG Claim team pantry;;1.504.500,00;Operating expense
So GD: 285A2560GPUMELPG LINH Lunch with client;;2.396.520,00;Operating expense
So GD: 285A2560GPUMXWY4 Tuan Pham Meeting with partner;;5.231.520,00;Operating expense
So GD: 285A2560GPUNLEF6 VINH LE Accounting team bonding;;4.669.920,00;Operating expense
So GD: 285A2560GPUPAZJS HAIBONBAY Courier fee of Binh Duong Office in 05 2025 Invoice No 00135734;;3.655.588,00;Operating expense
So GD: 285A2560GPUPXWKM TRAN NGUYEN Business activities 0525;;38.000.000,00;Operating expense
So GD: 285A2560GPUQEK4A KK Claim for project team dinner;;12.131.660,00;Operating expense
So GD: 285A2560GPUQXYLE SUNGUYEN PHYSICAL EXERCISES PICKLEBALL APR MAY 2025;;7.610.424,00;Operating expense
So GD: 285A2560GPURDJY3 Hanoi s office Yoga Class May 25;;3.564.000,00;Operating expense
So GD: 285A2560GPURVB0D Tony Meals with tenants and agents;;8.093.280,00;Operating expense
So GD: 285A2560GPUUB3KF Administrative expenses for making seals DPI and courier fees;;1.960.000,00;Operating expense
So GD: 285A2560GPUUSQEH Vu Nguyen Reimbursement for Payment of Social insurance declaration platform EFY eBHXH;;3.980.000,00;Operating expense
So GD: 285A2560GPUVNL49 Trinh thi toan Claim health check fee 2025 for Nghe An team;;4.534.608,00;Operating expense
So GD: 285A2560GPUWJPP0 WL1 IMPC FM service fee in 04 2025;;157.194.400,00;Operating expense
TANDUC Payment fee for purchase 5 License 12 Month Microsoft Copilot 365;;45.475.000,00;Operating expense
SSG_Office rental, Management fee in 05-06/2025 and Electricity, Water fee in 04/2025 and Parking fee in in 05/2025;;1.973.148.423,00;Operating expense
So GD: 285A2560L2YEYY12 CAAY_Framework Agreement for Design Services_Annex01;;43.038.000,00;Operating expense
So GD: 285A2560L5WF7L0T Intelizest - Rekochain - Payment for Q3/2025;;87.262.500,00;Operating expense
TANDUC_Payment for contract renew 12-month 103 license Microsoft 365 Standard will be expire at 06/2025;;277.997.000,00;Operating expense
TTHD Tien dien Ma KH-PA13NH0039621 Ma HD-Ky 1616580366-T05.2025/NH$1;;17.052.406,00;Operating expense
So GD: 285A25603U6BL15P BNA_Payment for copymachine monthly leasing fee from Apr 20 2025_May 20 2025;;1.620.000,00;Operating expense
BNA_VinaGreen_Operation of the Wastewater Treatment System in MAY 2025;;26.136.000,00;Operating expense
GUI HDTG KY HAN 51D, ST: 3,000,000,000. SO HDTG: 285/2025/17687;;3.000.000.000,00;Internal transfer out
Thanh toan tien nuoc va phi xu ly nuoc thai thang 05.2025 theo hoa don so 52 ngay 27.05.2025;50.888.318,00;;Receipt from tenants
thanh toan tien nuoc thang 5.2025;23.903.186,00;;Receipt from tenants
So GD: 285A2560F16AYX7H BNA_VSIP NA_EMF fee in JUN 2025;;272.130.628,00;Operating expense
So GD: 285A2560F16BVPTN BNA_TRINH THI TOAN_ Claim payment gift for 1 year contract to Tianneng;;971.145,00;Operating expense
So GD: 285A2560F16D4ZW4 BNA_VSIP Nghe An_ Refund booking fee to Wang Bao Nian MTS deal;;868.934.430,00;Operating expense
So GD: 285A2560F49Y3DMS BNA_1st payment Sponsorship for CBRE events in Shanghai;;40.831.440,00;Operating expense
TTHD Tien dien Ma KH-PA13NH0039621 Ma HD-Ky 1619056982-T06.2025/NH$1;;26.471.899,00;Operating expense
VIET-PORT BAY VIET NAM TT THUE XUONG T6/2025;377.627.691,00;;Receipt from tenants
The rent for June 2025;389.314.926,00;;Receipt from tenants
So GD: 285A25601VWUKDJG WL2A_DIEN VL_ Electricity fee in 05/2025_Term 2;;11.063.413,00;Operating expense
So GD: 285A2560F1N0ZVHD WL1_DIEN VL_ Electricity fee in 05.2025_Term 3;;9.950.918,00;Operating expense
So GD: 285A2560F1N1WN3W WL2A_KCN.VL_ Water fee in 05.2025_INV.00000560;;24.361.145,00;Operating expense
BYP_DIENBN_Power consumption May 2025 Inv 30903, 30908;;25.727.513,00;Operating expense
VFX - 3021008981 - 64098.5FII0007.V01.VND # MUA 60,221.73 USD TG 26.188;;1.577.086.560,00;Operating expense
640O25602APC574L 1001 600385 500 SIMON LI ENERGY LIMITED ADD. FLAT/RM 1610, 16/F, HARCOURT HOUSE, 39 GLOUCESTER ROAD, WANCHAI HONG KONG BB6 - REFUND BOOKING FEE LOT D7 TO SIMON LI ACCORDING TO IPA NO. BWBB6/IPA/24005 DD 31OCT 2024;;2.052.454,00;Operating expense
So GD: 640A25603U6AJF8Q BB6_BECAMEX_Electricity fee in 05.2024_Term 2;;23.129.317,00;Operating expense
CT DEN:640T25603HDNKX0P INV/BB6/000112 C8.01 ELECTRICITY;6.488.737,00;;Receipt from tenants
CT DEN:515608825979 TT tien thue dat tram BDG2088 tu 01.03.2025 - 31.12.2025, hoa don so 15.;55.000.000,00;;Receipt from tenants
So GD: 640A25608GKDHGWP BB6_KMG_ 2nd Payment for contract BWBB6.VD.25006 & VPI.VD.25003.;;1.689.041.820,00;Operating expense
So GD: 640A25608GKWQGYX BB6_KZN_ 2nd Payment for contract BWBB6.VD.25005.;;2.607.110.807,00;Operating expense
So GD goc: 650A25608NPDGHNQ DP thanh toan phi dat coc dam bao Unit: D1.04;1.296.219.864,00;;Receipt from tenants
CT DEN:515706841111 DP thanh toan phi dat coc sua chua Unit D1.04;65.000.000,00;;Receipt from tenants
chuyen khoan dot 1 tien dat coc thue nha xuong C7.03,04, Lo C-7-CN, Duong N17 theo hop dong BWBB6/PLC/25006;2.000.000.000,00;;Receipt from tenants
CT DEN:640T2560GNBZC66B LEOCH ENERGY TT TIEN DIEN C1.04 DEN C1.06 VA C2.01 DEN C2.06 21/04/2025 DEN 20/05/2025;24.262.068,00;;Receipt from tenants
CTY JU YUAN COC TIEN THI CONG NHA XUONG D1.05 THEO HOP DONG SO BWBB6 PLC 25013 MUC8 TRANG 6;65.000.000,00;;Receipt from tenants
CTY JU YUAN COC TIEN THUE NHA XUONG D1.05THEO HOP DONG SO BWBB6PLC/25013 MUC 7 TRANG 6;1.057.439.590,00;;Receipt from tenants
So GD: 640A2560J86HG0FU BB6_TURICO_ 2nd Payment for contract BWBB6.VD.25013.;;3.924.164.704,00;Operating expense
So GD goc: 10000593 ELECTRIC CHARGE;252.212,00;;Receipt from tenants
CTY NLM AUTEL TT PHI QL DIEN T4/2025 HD SO 104;85.360.000,00;;Receipt from tenants
So GD goc: 10000098 THANH TOAN PHI NUOC, PHI QUAN LY DIEN CO DINH T4.25;89.730.052,00;;Receipt from tenants
CTY NLM AUTEL TT PHI NUOC VA XLNT T4/2025 HD SO 103;15.423.032,00;;Receipt from tenants
CONG TY TNHH AUTEL ROBOTICS VIET NAM TT PHI DICH VU CUNG CAP NUOC NHA XUONG 21/04-20/05/2025 , PHI QUAN LY DIEN CO DINH  T5;70.112.866,00;;Receipt from tenants
TT phi dich vu va cung cap nuoc, phi dich vu xu ly nuoc thai sinh hoat tai nha xuong A2, lo IN3-11* tu 20/04/2025 den 21/05/2025;3.567.622,00;;Receipt from tenants
TT phi quan ly dien co dinh nha xuong A2, lo IN3-11* tu 01/05/2025 den 31/05/2025;5.989.500,00;;Receipt from tenants
So GD: 285A2560F16JULDT BHP_Pay to office expense for BW Hai Phong Office in May 2025;;2.637.468,00;Operating expense
So GD: 285A2560F16KJE3H BW Hai Phong_Pay retention money after warranty period of VSIP HP LOT 11A under tripartite agreement dated 22 May 2025;;833.460.516,00;Operating expense
So GD: 285A2560F19BBCTP BW Hai Phong_Payment for meeting expense;;1.404.000,00;Operating expense
So GD: 285A2560F19CA4KH BW Hai Phong_EES_Payment for WWTP Operation fee in Apr 2025;;8.498.520,00;Operating expense
So GD: 285A2560F49VLEBD BHP_Payment Meeting expense;;2.490.480,00;Operating expense
BW Hai Phong_Payment power consumption, registered power demand, water consumption and WWT fee in May 2025;;353.760.804,00;Operating expense
Cong ty Full-Sharp thanh toan HD 119, 120;9.286.654,00;;Receipt from tenants
EK tt phi dat coc sua chua;65.000.000,00;;Receipt from tenants
EK tt phi dat coc lan 2 theo phu luc BWHP/PLC/22007/PL2;568.469.080,00;;Receipt from tenants
So GD: 285A2560PA24Z69Y BW Hai Phong_Skylink_Final payment of provide and install sensors and rolling door anti-collision mechanism;;13.824.000,00;Operating expense
So GD: 285A25601VWTTDGE XA1_VNPT_ Recharge FF extinguishers - INV.00051908;;9.028.800,00;Operating expense
So GD: 285A25601VWV76NY XA1_KCN XA_Water fee in 05.2025_INV.00000894;;19.891.506,00;Operating expense
So GD goc: 10000374 Payment290771;693.036.960,00;;Receipt from tenants
TTHD Tien dien Ma KH-PB06030112110 Ma HD-Ky 301535936832TD-T05.2025/0;;45.498.373,00;Operating expense
TTHD Tien dien Ma KH-PB06030112113 Ma HD-Ky 301535936871TD-T05.2025/0;;75.112.466,00;Operating expense
So GD goc: 3185620435Y25 VIETINBANK HOHN FEE;165.763.382,00;;Receipt from tenants
So GD: 285A25608HAXALXA HOAN TRA THEO TRA SOAT DEN NGAY 28052025 THEO YEU CAU CUA DON VI CHUYEN;;58.924.615.329,00;Operating expense
So GD: 285A2560F1MZZ8JB XA1_NGOC PHONG_ EMF fee in 05.2025_INV.00000920;;158.974.289,00;Operating expense
So GD: 285A2560F1N0G0JT XA1_NGOC PHONG_Wastewater fee in 05.2025_INV.00000921;;12.687.840,00;Operating expense
So GD goc: 10005664 Payment392890;20.647.737,00;;Receipt from tenants
So GD goc: 3185650321Y25 VIETINBANK HOHN RENT;21.752.371.174,00;;Receipt from tenants
So GD goc: 10001471 TT VNMN2AD5P N XENIA 1_TTHD 00000047_CP TIEN DIEN,NUOC TU NGAY 19.04.2025 - 20.05.2025_BHX_LAN_DHO - KHO DC XUYEN A;47.329.451,00;;Receipt from tenants
TTHD Tien dien Ma KH-PB06030112110 Ma HD-Ky 101536186537TD-T06.2025/0;;54.427.319,00;Operating expense
TTHD Tien dien Ma KH-PB06030112113 Ma HD-Ky 101536186709TD-T06.2025/0;;92.552.436,00;Operating expense
CT DEN:640T256022FVJGES CONG TY TNHH NHUA ASUS VIET NAM chuyen tien thue nha xuong hd 155 ngay 8.4.2025;385.039.656,00;;Receipt from tenants
So GD goc: 10022940 //SAL2025153S084005548001//OLYMPIA THANH TOAN INV 169 BW;197.651.690,00;;Receipt from tenants
So GD goc: 10000553 TT VNMN29AIH N THE LAST DEPOSIT PAYMENT FORBW FACTORY;1.886.207.040,00;;Receipt from tenants
So GD: 640A25603U6E7J8W BWD_Vo Thi Thu Thao_Flower for Kammi A-18A29;;1.080.000,00;Operating expense
TTHD Tien dien Ma KH-PB04090028199 Ma HD-Ky 101531531138TD-T05.2025/0;;80.997,00;Operating expense
TTHD Tien dien Ma KH-PB04090019926 Ma HD-Ky 101531531578TD-T05.2025/0;;4.486.590,00;Operating expense
TTHD Tien dien Ma KH-PB04090028600 Ma HD-Ky 101531529678TD-T05.2025/0;;1.432.950,00;Operating expense
TTHD Tien dien Ma KH-PB04090030004 Ma HD-Ky 101531530584TD-T05.2025/0;;4.697.889,00;Operating expense
TTHD Tien dien Ma KH-PB04090028958 Ma HD-Ky 101531528530TD-T05.2025/0;;6.978.434,00;Operating expense
TTHD Tien dien Ma KH-PB04090030985 Ma HD-Ky 101531531176TD-T05.2025/0;;6.478.135,00;Operating expense
TTHD Tien dien Ma KH-PB04090030927 Ma HD-Ky 101531528093TD-T05.2025/0;;3.542.428,00;Operating expense
TTHD Tien dien Ma KH-PB04090030057 Ma HD-Ky 101531528542TD-T05.2025/0;;654.336,00;Operating expense
TTHD Tien dien Ma KH-PB04090030065 Ma HD-Ky 101531528550TD-T05.2025/0;;247.903,00;Operating expense
TTHD Tien dien Ma KH-PB04090030065 Ma HD-Ky 101531528555VC-T05.2025/1;;5.628,00;Operating expense
TTHD Tien dien Ma KH-PB04090035019 Ma HD-Ky 101532868005TD-T05.2025/0;;1.019.843,00;Operating expense
TTHD Tien dien Ma KH-PB04090039544 Ma HD-Ky 101532870596TD-T05.2025/0;;6.824.936,00;Operating expense
TTHD Tien dien Ma KH-PB04090028957 Ma HD-Ky 101531530093TD-T05.2025/0;;42.646.718,00;Operating expense
TTHD Tien dien Ma KH-PB04090039504 Ma HD-Ky 101532867974TD-T05.2025/0;;1.398.338,00;Operating expense
THANH TOAN TIEN THUE XUONG THANG 6 , HOA DON 150;204.244.128,00;;Receipt from tenants
So GD goc: 10002980 IBBIZ6038896894.IBPS.CTY TNHH THIET BI Y TE KOOLCARE (VIET NA chuyen tien, KOOLCARE  SECURITY DEPOSIT;2.267.800.164,00;;Receipt from tenants
CONG TY C VA C MST 3703209378 THANH TOAN PHI THUE NHA XUONG THANG 5 HD 146 CHO BW LAN 2;657.961.920,00;;Receipt from tenants
CT DEN:515801855033 CONG TY TNHH PHAT TRIEN CONG NGHE MAXEDGE tt phi thue xuong A-18A17-CN-B thang 6 cho CONG TY CP PTCN BW theo hd so 200;275.547.360,00;;Receipt from tenants
So GD goc: 10007834 SYNTHITE tt cho BW - 00000202;181.471.752,00;;Receipt from tenants
So GD goc: FT25160066001405 TALENTO HOUSE PAYMENT FOR FACTORY RENTAL AND SERVICE IN MAY 2025/;603.097.323,00;;Receipt from tenants
BWD_Cuong Dong_Refund fitout deposit_A-18A22-A;;65.000.000,00;Operating expense
CTY TNHH DUNG CU THE THAO SKYMAX  THANH TOAN THEO HOA DON SO 194 06062025;343.965.600,00;;Receipt from tenants
Rental for 2025-06;269.089.920,00;;Receipt from tenants
CONG TY C VA C MST 3703209378 THANH TOAN PHI THUE NHA XUONG THANG 6 HD 146 CHO BW LAN 3;657.961.920,00;;Receipt from tenants
So GD: 640A2560F16FHYWE BWD_Flowcom_Refund fitout deposit_A-18-1-D;;65.000.000,00;Operating expense
So GD: 640A2560F16GFZ4L BWD_BA DUONG_Installing FF wall for Inseason_Final payment_Inv no.89;;93.500.000,00;Operating expense
So GD: 640A2560F192TUC2 BWD_GIA HUY_Translation Fee_Talento House expansion_Inv no.00000026;;1.252.800,00;Operating expense
CT DEN:640T2560F9QDUSWZ CONG TY TNHH XINRONGHUI VIET NAM TT CP thue nha xuong T6.2025(inv:1C25TBA-199);272.624.880,00;;Receipt from tenants
TRICH TK MO HDTG 1 THANG RGLH LCK, TAI DAO HAN;;22.000.000.000,00;Internal transfer out
BWD_Liangmu_Refund fitout deposit_A-17B1-BCDE;;100.000.000,00;Operating expense
So GD goc: 10004878 IBBIZ6039299630.IBPS.CONG TY TNHH NAM ANH MFG chuyen tien Thanh toan phi thue xuong A-17B-2-CN-E tu ngay 01/06/2025 den 30/06/2025(DT=2,034m2 don gia 101,232d/m2/thang) HD: 195(06/06);226.496.477,00;;Receipt from tenants
TTHD Tien nuoc Ma KH-8801010074 Ma HD-Ky 6/2025$88;;86.940,00;Operating expense
TTHD Tien nuoc Ma KH-8801010075 Ma HD-Ky 6/2025$88;;28.980,00;Operating expense
So GD: 640A2560L10WG3TW BWD_DINH TAN TOC_Consulting service fee_Asus;;168.946.074,00;Operating expense
So GD goc: 10002860 IBBIZ6039406992.IBPS.CTY TNHH SAN PHAM NHUA DINH HONG HAM THU chuyen tien COC THUE XUONG THEO HD BWBB/PLC/25010;1.753.023.636,00;;Receipt from tenants
TTHD Tien nuoc Ma KH-8801010038 Ma HD-Ky 6/2025$88;;1.318.590,00;Operating expense
GUI TIEN VAO HOP DONG TIEN GUI SO 285 2025 16811;;13.000.000.000,00;Internal transfer out
So GD goc: 10001791 tt1375097 ghtk mkh pe09000208673 tt tien dien tu 2025-04-22 den 2025-05-21 tan phu trung;673.227.075,00;;Receipt from tenants
So GD goc: 10002057 tt1375099 ghtk mkh c00000267 tt tien nuoc tu 2025-04-22 den 2025-05-21 tan phu trung;7.796.659,00;;Receipt from tenants
So GD goc: 10002091 tt1375098 ghtk mkh nuoc-tan phu trung tt tien nuoc tu 2025-04-22 den 2025-05-21 tan phu trung;12.064.184,00;;Receipt from tenants
TTHD Tien dien Ma KH-PE09000208673 Ma HD-Ky 250630TD-T05.2025/0;;336.530.732,00;Operating expense
So GD goc: 10001984 tt1379403 ghtk hcm163.01-thanh toan tien thue kho tan phu trung tu 01.06.2025 den 30.06.2025;3.663.539.682,00;;Receipt from tenants
TTHD Tien dien Ma KH-PE09000208673 Ma HD-Ky 250710TD-T06.2025/0;;306.851.423,00;Operating expense
So GD goc: 3185662954Y25 VIETINBANK HOHN INV 1C25TBA 0000006 7;145.735.616,00;;Receipt from tenants
TAT TOAN HDTG 640.2024.85809;153.425,00;;Other receipts
TAT TOAN HDTG 640.2024.85809;2.000.000.000,00;;Internal transfer in
RUT TIEN THEO PHU LUC 640/2023/29169/PL3;28.493,00;;Other receipts
RUT TIEN THEO PHU LUC 640/2023/29169/PL3;50.000.000,00;;Internal transfer in
So GD: 640A2560JC506QFL INTERNAL TRANSFER FROM VTB TO UOB;;2.044.038.357,00;Internal transfer out
So GD: 900A2560DP0WLS7U DVC_VEV- Permitting contract to VEV - PR.02;;410.400.000,00;Construction expense
So GD: 900A2560L0Z1T318 Tan Hiep - Earth Works - CS contract to Atelier - PR.07;;106.920.000,00;Construction expense
So GD goc: 10004805 MBBIZ6038608486.IBPS.CT TNHH CONG NGHE TAI CHE SACH  GREAT TT  phan con lai hoa don so 00000098;286.747.265,00;;Receipt from tenants
TTHD Tien dien Ma KH-PM17000094760 Ma HD-Ky 1612415976-T05.2025/17$1;;61.178.317,00;Operating expense
CT DEN:285T25608N6MXM8V CTY DAI VIET TT TIEN NUOC VA QL NUOC THAI T5.2025 HD SO 152 CHO BW HD DU AN 2;4.130.778,00;;Receipt from tenants
Tra lai TK tien gui 216000382800;24.969.863,00;;Other receipts
CT DEN:285T2560A701S0ZH CTY WISVA 0801434104 thanh toan hoa don VAT so 153 ngay 27.05.2025;3.139.198,00;;Receipt from tenants
So GD: 285A2560F16A9LQY HD2_EES_WWTP Operation fee in APR.25;;35.105.400,00;Operating expense
HD2_VSIP HD_ Water consumption and Wastewater treatment in MAY 2025;;87.049.058,00;Operating expense
So GD goc: 10000976 DT54975 2516190722200606 water bill;3.062.720,00;;Receipt from tenants
Morteng TT phi nuoc sach va phi xu ly HD 139;2.914.019,00;;Receipt from tenants
THU NO BO SUNG NAM 2024 DOT 2 ADDITIONAL REPAYMENT BANK LOAN PRINCIPAL CASHSWEEP 2024 (SECOND TIME);;7.000.000.000,00;Loan repayment
CT DEN:285T2560GMQU6MUP Yuehai thanh toan tien HD 159;3.306.345,00;;Receipt from tenants
The Gauss Vina thanh toan phi su dung nuoc sach va phi xu ly nuoc thai so hoa don 157;2.867.863,00;;Receipt from tenants
HD2_Payment Annual testing for lightning system;;3.499.575,00;Operating expense
TAT TOAN TAI KHOAN TIET KIEM SO 216000382800;153.425,00;;Other receipts
TAT TOAN TAI KHOAN TIET KIEM SO 216000382800;7.000.000.000,00;;Internal transfer in
So GD goc: 10002398 MBBIZ6039253915.IBPS.CT TNHH CONG NGHE TAI CHE SACH  GREAT TT hoa don so 00000148;3.178.110,00;;Receipt from tenants
CTY FUXIN TT  TIEN NUOC T05.2025;3.131.994,00;;Receipt from tenants
So GD goc: 10000314 TT VNMN2AEZ0 N HARTING VN TT TIEN NUOC T5.2025 - WATER AND WASTEWATER TREATMENT IN MAY;10.342.060,00;;Receipt from tenants
So GD goc: 10000786 Etron Pay inv 142;25.724.670,00;;Receipt from tenants
TK thanh toan HD 00000144;9.410.150,00;;Receipt from tenants
So GD: 285A2560PB9M25U3 HD2_IMPC_Payment for Defect Rectification and Renovation Quarter 4 2024;;217.646.676,00;Operating expense
So GD: 285A25603U6F47SG BBN-TNPM-Hanoi office - Payment of Electricity and Parking Fee in May 2025-INVOICE 00003666,00003827,00003862;;9.594.157,00;Operating expense
TTHD Tien dien Ma KH-PA22070819971 Ma HD-Ky 1615331116-T05.2025/07D1$1;;4.024.972,00;Operating expense
TTHD Tien dien Ma KH-PA22070819970 Ma HD-Ky 1615331136-T05.2025/07D1$1;;24.985.148,00;Operating expense
CT DEN:250517173383 CT Gia Viet thanh toan tien cho CT BW Bac Ninh theo hd so 35;9.146.080,00;;Receipt from tenants
So GD: 285A2560F168G4YT BBN_VISION_Refund Security deposit to VISION tenant_ Unit B1-E;;706.255.512,00;Operating expense
BBN_VSIP Bac Ninh_Payment of Water consumption and Wastewater treatment in May 2025_INVOICE 1854,1855;;13.568.050,00;Operating expense
So GD: 285A25601VWVQ0HV XA2_KCN XA_ Water fee in 05.2025_INV.00000893;;6.421.902,00;Operating expense
So GD: 285A25601VWW3EEF XA2_THUY NGUYEN_Administrative expenses for translation and notarization, DPI and courier fees_INV.156, 0184402 & EV708628042VN;;1.232.000,00;Operating expense
TTHD Tien dien Ma KH-PB06030116071 Ma HD-Ky 301535936936TD-T05.2025/0;;5.880.315,00;Operating expense
So GD: 285A2560F1MY4QNK XA2_NGOC PHONG_Wastewater fee in 05.2025_INV.00000919;;4.096.224,00;Operating expense
So GD: 285A2560F1MZ4HQF XA2_NGOC PHONG_EMF fee in 05.2025_INV.00000918;;67.980.340,00;Operating expense
TTHD Tien dien Ma KH-PB06030116071 Ma HD-Ky 101536186826TD-T06.2025/0;;6.971.135,00;Operating expense
Tra lai TK tien gui 217000452414;178.356.164,00;;Other receipts
So GD: 900A2560L0Z403GZ LMX_IMPC_Rolling door renovation; -   ;77.004.000,00;Operating expense
So GD goc: 10001982 CT THUAN PHONG DAT COC THI CONG NOI THAT HD LMX3 PLC 25001 CT tu 0531002562100 CTTNHH MTV CHUYEN PHAT NHANH THUAN PHONG  toi 118002972254 CTCP DAU TU VA PHAT TRIEN CONG NGHIEPLE MINH XU;90.000.000,00; -   ;Receipt from tenants
So GD goc: 10001099 CT THUAN PHONG DAT COC THUE KHO HD LMX3 PLC 25001 CT tu 0531002562100 CTTNHH MTV CHUYEN PHAT NHANH THUAN PHONG  toi 118002972254 CTCP DAU TU VA PHAT TRIEN CONG NGHIEPLE MINH XUAN 3 SAIG;7.677.428.429,00; -   ;Receipt from tenants
So GD: 900A2560F1941ASK LMX_VRG_Electricicty fee in 05/25; -   ;139.286.924,00;Operating expense
So GD: 900A2560D8YAKL0N DEEP C 2B_DCGE_Payment for Power connection fee; -   ;3.521.291.100,00;Operating expense
